"","chron_position","movie_name","location","time_start","time_stop","duration_mins","release_order","US_release_date","movie_chron","run_time","fudged_times"
"30",30,"THE INCREDIBLE HULK","Most of the first act",00:03:03,00:31:58,00:28:55,2,2008-06-13,5,01:52:00,"no"
"31",31,"IRON MAN 2","Most of the first two acts",00:05:12,01:24:08,01:18:56,3,2010-05-07,4,02:04:00,"no"
"32",32,"THOR","Most of the first act",00:07:34,00:29:52,00:22:18,4,2011-05-06,6,01:55:00,"no"
"33",33,"THOR","First prologue",00:00:00,00:03:20,00:03:20,4,2011-05-06,6,01:55:00,"no"
"34",34,"THOR","Some more",00:30:08,00:35:32,00:05:24,4,2011-05-06,6,01:55:00,"no"
"35",35,"IRON MAN 2","A bit more",01:24:08,01:25:30,00:01:22,3,2010-05-07,4,02:04:00,"no"
"36",36,"THOR","Some more",00:35:32,00:36:14,00:00:42,4,2011-05-06,6,01:55:00,"no"
"37",37,"IRON MAN 2","Post-credits scene",02:02:00,02:04:00,00:02:00,3,2010-05-07,4,02:04:00,"yes"
"38",38,"THOR","About the middle half",00:36:36,01:15:38,00:39:02,4,2011-05-06,6,01:55:00,"no"
"39",39,"IRON MAN 2","Some more",01:25:30,01:30:29,00:04:59,3,2010-05-07,4,02:04:00,"no"
"40",40,"THOR","Most of the last act",01:15:38,01:42:15,00:26:37,4,2011-05-06,6,01:55:00,"no"
"41",41,"IRON MAN 2","Most of the last act",01:30:29,01:54:12,00:23:43,3,2010-05-07,4,02:04:00,"no"
"42",42,"THOR","Last couple scenes",01:42:15,01:50:00,00:07:45,4,2011-05-06,6,01:55:00,"yes"
"43",43,"THE INCREDIBLE HULK","About a half hour",00:31:58,00:59:18,00:27:20,2,2008-06-13,5,01:52:00,"no"
"44",44,"THE INCREDIBLE HULK","Abrief scene later on",01:04:31,01:04:59,00:00:28,2,2008-06-13,5,01:52:00,"no"
"45",45,"IRON MAN 2","The second-to-last scene",01:54:12,01:56:05,00:01:53,3,2010-05-07,4,02:04:00,"no"
"46",46,"THE INCREDIBLE HULK","A few more minutes",00:59:18,01:04:31,00:05:13,2,2008-06-13,5,01:52:00,"no"
"47",47,"IRON MAN 2","The last pre-credits scene",01:56:05,01:59:00,00:02:55,3,2010-05-07,4,02:04:00,"yes"
"48",48,"THE INCREDIBLE HULK","Most of the second half",01:04:59,01:43:27,00:38:28,2,2008-06-13,5,01:52:00,"no"
"49",49,"THE INCREDIBLE HULK","Last scene",01:44:20,01:47:00,00:02:40,2,2008-06-13,5,01:52:00,"yes"
"50",50,"THE INCREDIBLE HULK","Second-to-last scene",01:43:27,01:44:20,00:00:53,2,2008-06-13,5,01:52:00,"no"
"51",51,"CAPTAIN AMERICA: THE FIRST AVENGER","Prologue",00:00:00,00:03:20,00:03:20,5,2011-07-22,1,02:04:00,"no"
"52",52,"CAPTAIN AMERICA: THE FIRST AVENGER","Epilogue",01:50:30,02:02:00,00:11:30,5,2011-07-22,1,02:04:00,"yes"
"53",53,"THOR","Post-credits scene",01:53:00,01:55:00,00:02:00,4,2011-05-06,6,01:55:00,"yes"
"54",54,"THE AVENGERS","Most",00:00:00,02:09:38,02:09:38,6,2012-05-04,7,02:23:00,"no"
"55",55,"AVENGERS: ENDGAME","Abrief scene",01:17:46,01:18:00,00:00:14,22,2019-04-26,22,03:01:00,"no"
"56",56,"AVENGERS: ENDGAME","Another brief scene",01:19:19,01:19:25,00:00:06,22,2019-04-26,22,03:01:00,"no"
"57",57,"THE AVENGERS","Post-credits scene",02:21:00,02:23:00,00:02:00,6,2012-05-04,7,02:23:00,"yes"
"58",58,"THE AVENGERS","End",02:09:38,02:23:00,00:13:22,6,2012-05-04,7,02:23:00,"yes"
"59",59,"THOR: THE DARK WORLD","Second scene",00:03:45,00:06:12,00:02:27,8,2013-11-08,9,01:52:00,"no"
"60",60,"SPIDER-MAN: HOMECOMING","First prologue",00:00:00,00:04:02,00:04:02,16,2017-07-07,18,02:13:00,"no"
"61",61,"SPIDER-MAN: HOMECOMING","Second post-credits scene",02:11:00,02:13:00,00:02:00,16,2017-07-07,18,02:13:00,"yes"
"62",62,"IRON MAN 3","First act",00:04:51,00:39:42,00:34:51,7,2013-05-03,8,02:10:00,"no"
"63",63,"IRON MAN 3","First shot",00:00:00,00:00:25,00:00:25,7,2013-05-03,8,02:10:00,"no"
"64",64,"IRON MAN 3","Most",00:39:42,02:10:00,01:30:18,7,2013-05-03,8,02:10:00,"yes"
"65",65,"THOR: THE DARK WORLD","Most",00:06:12,01:52:00,01:45:48,8,2013-11-08,9,01:52:00,"yes"
"66",66,"AVENGERS: ENDGAME","A brief scene",01:13:29,01:15:14,00:01:45,22,2019-04-26,22,03:01:00,"no"
"67",67,"GUARDIANS OF THE GALAXY","Most",00:03:40,02:01:00,01:57:20,10,2014-08-01,11,02:01:00,"yes"
"68",68,"GUARDIANS OF THE GALAXY VOL. 2","Most",00:02:51,02:14:00,02:11:09,15,2017-05-05,12,02:16:00,"no"
"69",69,"GUARDIANS OF THE GALAXY VOL. 2","Final post-credits tag",02:14:30,02:16:00,00:01:30,15,2017-05-05,12,02:16:00,"yes"
"70",70,"CAPTAIN AMERICA: THE WINTER SOLDIER","Most",00:00:00,01:32:28,01:32:28,9,2014-04-04,10,02:16:00,"no"
"71",71,"CAPTAIN AMERICA: THE WINTER SOLDIER","Most of the last act",01:33:17,02:16:00,00:42:43,9,2014-04-04,10,02:16:00,"yes"
"72",72,"AVENGERS: AGE OF ULTRON","",00:00:00,02:19:00,02:19:00,11,2015-05-01,13,02:21:00,"yes"
"73",73,"ANT-MAN","Most",00:02:06,01:53:00,01:50:54,12,2015-07-17,14,01:57:00,"yes"
"74",74,"ANT-MAN AND THE WASP","More of the prologue",00:02:40,00:03:30,00:00:50,20,2018-07-06,20,01:58:00,"no"
